partition,nodes,edges,size,,avg,max,min,median,std
0,148,6107,102396,nodes,492.769697,846,148,497,106.3098744
1,321,3171,102328,edges,4039.442424,9780,1,3749,1828.737937
2,276,3535,102364,size,101996.6061,102400,43804,102360,4544.220067
3,358,5342,102352,,,,,,
4,291,4180,102296,,edge-cut-ratio,local buffer size,# partition,,
5,329,3651,102388,,0.623,102400,165,,
6,326,3390,102368,,,,,,
7,406,5613,102340,,,,,,
8,257,3003,102332,,,,,,
9,389,4253,102292,,,,,,
10,431,5672,102360,,,,,,
11,304,2621,102388,,,,,,
12,340,5016,102336,,,,,,
13,341,3516,102400,,,,,,
14,435,7811,102344,,,,,,
15,478,3846,102380,,,,,,
16,391,9352,102396,,,,,,
17,412,5638,102396,,,,,,
18,480,5123,102364,,,,,,
19,370,7075,102364,,,,,,
20,400,4265,102384,,,,,,
21,398,5396,102392,,,,,,
22,412,4267,102388,,,,,,
23,450,4042,102300,,,,,,
24,418,7751,102364,,,,,,
25,463,3573,102320,,,,,,
26,345,2494,102336,,,,,,
27,296,7224,102296,,,,,,
28,452,2799,102288,,,,,,
29,365,7716,102284,,,,,,
30,402,5039,102372,,,,,,
31,349,7796,102380,,,,,,
32,497,4922,102372,,,,,,
33,508,6165,102348,,,,,,
34,529,4096,102384,,,,,,
35,448,4218,102340,,,,,,
36,449,4336,102288,,,,,,
37,511,4276,102384,,,,,,
38,380,8039,102368,,,,,,
39,429,3827,102296,,,,,,
40,388,4335,102396,,,,,,
41,471,3302,102296,,,,,,
42,537,3635,102400,,,,,,
43,438,4243,102360,,,,,,
44,473,2284,102384,,,,,,
45,611,3517,102292,,,,,,
46,434,3183,102396,,,,,,
47,434,6047,102400,,,,,,
48,378,5133,102368,,,,,,
49,423,3331,102364,,,,,,
50,432,3536,102360,,,,,,
51,466,5101,102388,,,,,,
52,500,3905,102392,,,,,,
53,403,2969,102356,,,,,,
54,409,5034,102396,,,,,,
55,432,3426,102380,,,,,,
56,426,2664,102380,,,,,,
57,426,3895,102380,,,,,,
58,471,2897,102284,,,,,,
59,422,3567,102324,,,,,,
60,522,2785,102396,,,,,,
61,542,2292,102320,,,,,,
62,490,6147,102360,,,,,,
63,549,2684,102336,,,,,,
64,465,2369,102400,,,,,,
65,533,2344,102372,,,,,,
66,476,2867,102296,,,,,,
67,459,3191,102364,,,,,,
68,357,9780,102288,,,,,,
69,402,7293,102328,,,,,,
70,520,6107,102364,,,,,,
71,552,5682,102400,,,,,,
72,534,2624,102320,,,,,,
73,488,5621,102288,,,,,,
74,514,6582,102376,,,,,,
75,497,4429,102324,,,,,,
76,465,2191,102392,,,,,,
77,484,3774,102328,,,,,,
78,583,3693,102364,,,,,,
79,490,4604,102360,,,,,,
80,565,4019,102284,,,,,,
81,508,5127,102388,,,,,,
82,462,3878,102356,,,,,,
83,453,6350,102344,,,,,,
84,436,4690,102328,,,,,,
85,483,3691,102388,,,,,,
86,485,4057,102336,,,,,,
87,508,6986,102308,,,,,,
88,566,1676,102376,,,,,,
89,468,3550,102352,,,,,,
90,444,3270,102312,,,,,,
91,511,3695,102332,,,,,,
92,405,2012,102296,,,,,,
93,490,5001,102292,,,,,,
94,493,2861,102388,,,,,,
95,426,4630,102288,,,,,,
96,531,2293,102296,,,,,,
97,549,2479,102376,,,,,,
98,510,3749,102292,,,,,,
99,510,3402,102392,,,,,,
100,514,2465,102388,,,,,,
101,540,4190,102400,,,,,,
102,515,2081,102332,,,,,,
103,501,2572,102324,,,,,,
104,562,2761,102296,,,,,,
105,393,4571,102364,,,,,,
106,542,3931,102400,,,,,,
107,535,3026,102372,,,,,,
108,561,4127,102392,,,,,,
109,392,4343,102308,,,,,,
110,423,7090,102352,,,,,,
111,577,3228,102324,,,,,,
112,575,4619,102380,,,,,,
113,516,3284,102360,,,,,,
114,470,4798,102360,,,,,,
115,549,2783,102392,,,,,,
116,564,3790,102312,,,,,,
117,517,2800,102352,,,,,,
118,631,2718,102332,,,,,,
119,558,5729,102400,,,,,,
120,559,2335,102324,,,,,,
121,591,2189,102344,,,,,,
122,621,3214,102384,,,,,,
123,516,4349,102288,,,,,,
124,506,5450,102324,,,,,,
125,577,2634,102400,,,,,,
126,506,3813,102324,,,,,,
127,546,3333,102396,,,,,,
128,669,2196,102392,,,,,,
129,515,3238,102396,,,,,,
130,615,2821,102364,,,,,,
131,579,2410,102340,,,,,,
132,524,5821,102380,,,,,,
133,543,5185,102292,,,,,,
134,565,5536,102368,,,,,,
135,601,3381,102372,,,,,,
136,636,3265,102324,,,,,,
137,614,3611,102340,,,,,,
138,589,3974,102380,,,,,,
139,445,9163,102392,,,,,,
140,607,2681,102356,,,,,,
141,578,3086,102364,,,,,,
142,542,2418,102308,,,,,,
143,601,1609,102356,,,,,,
144,618,1795,102328,,,,,,
145,529,5826,102388,,,,,,
146,533,6149,102388,,,,,,
147,581,2583,102348,,,,,,
148,514,6348,102384,,,,,,
149,535,3708,102300,,,,,,
150,515,5712,102344,,,,,,
151,570,4306,102356,,,,,,
152,574,3991,102376,,,,,,
153,590,2828,102336,,,,,,
154,499,3621,102332,,,,,,
155,554,3529,102368,,,,,,
156,569,2511,102320,,,,,,
157,480,9539,102392,,,,,,
158,727,724,102308,,,,,,
159,830,14,102304,,,,,,
160,835,14,102396,,,,,,
161,837,33,102312,,,,,,
162,843,22,102360,,,,,,
163,846,1,102284,,,,,,
164,365,1,43804,,,,,,
